signal ,province,city,job,salary,company,experience,education,scale
北京2,北京,北京,高级数据分析师,30k-50k,映客直播,5-10年,本科,500-999人
北京2,北京,北京,数据分析师,15k-30k,全民快乐,1-3年,硕士,100-499人
北京2,北京,北京,高级数据分析师,20k-40k,百度,3-5年,本科,10000人以上
北京2,北京,北京,高级数据分析师,15k-25k,今日头条,经验不限,本科,10000人以上
北京2,北京,北京,商业数据分析师,14k-18k,Boss直聘,1-3年,本科,1000-9999人
北京2,北京,北京,数据分析,6k-9k,周黑鸭,应届生,本科,100-499人
北京2,北京,北京,数据分析师,15k-30k,云智慧,经验不限,硕士,100-499人
北京2,北京,北京,数据分析专员,5k-7k,北京康尔健野,1-3年,本科,100-499人
北京2,北京,北京,高级数据分析师,25k-35k,闪送,3-5年,本科,500-999人
北京2,北京,北京,数据分析/经营分析,20k-35k,京东金融,3-5年,本科,10000人以上
北京2,北京,北京,数据分析师助理,8k-16k,学霸君,应届生,硕士,1000-9999人
北京2,北京,北京,数据分析师,15k-28k,竞技世界,3-5年,本科,1000-9999人
北京2,北京,北京,数据分析师,15k-30k,百度,5-10年,本科,10000人以上
北京2,北京,北京,数据分析师,5k-7k,搜狗,1年以内,本科,1000-9999人
北京2,北京,北京,数据分析专员,5k-6k,东易日盛,1年以内,大专,1000-9999人
北京2,北京,北京,数据分析实习生,3k-6k,好未来,经验不限,本科,10000人以上
北京2,北京,北京,数据分析（绩效）,10k-20k,途游游戏,1-3年,本科,100-499人
北京2,北京,北京,数据分析师,11k-16k,Boss直聘,1年以内,本科,1000-9999人
北京2,北京,北京,数据分析专家 (J171025015),20k-40k,滴滴出行,3-5年,本科,10000人以上
北京2,北京,北京,数据分析讲师,20k-40k,AAA教育,5-10年,本科,100-499人
北京2,北京,北京,数据分析师/BI Specialist,8k-12k,华北利星行,1-3年,本科,1000-9999人
北京2,北京,北京,数据分析师,15k-25k,百观,1-3年,本科,20-99人
北京2,北京,北京,数据分析师,15k-20k,爱亲母婴,经验不限,学历不限,100-499人
北京2,北京,北京,风险数据分析师,18k-35k,京东金融,3-5年,本科,10000人以上
北京2,北京,北京,数据分析师,8k-12k,数创天下,经验不限,硕士,1000-9999人
北京2,北京,北京,数据分析员,4k-6k,华信通,经验不限,大专,500-999人
北京2,北京,北京,数据分析,7k-9k,捷越联合,1-3年,本科,10000人以上
北京2,北京,北京,数据分析师,10k-15k,睿智合创,1年以内,硕士,20-99人
北京3,北京,北京,高阶数据分析师,35k-55k,学霸君,5-10年,本科,1000-9999人
北京3,北京,北京,数据分析文员,4k-6k,东易日盛,1-3年,大专,1000-9999人
北京3,北京,北京,高级数据分析师,15k-30k,便利24,3-5年,本科,100-499人
北京3,北京,北京,数据分析专员,5k-6k,东易日盛,经验不限,高中,1000-9999人
北京3,北京,北京,数据分析师,20k-40k,Boss直聘,1-3年,硕士,1000-9999人
北京3,北京,北京,数据分析实习生,2k-3k,今日头条,经验不限,本科,10000人以上
北京3,北京,北京,数据分析师,10k-15k,蛋壳公寓,3-5年,本科,1000-9999人
北京3,北京,北京,数据分析师,5k-10k,和润博思,1-3年,本科,20-99人
北京3,北京,北京,BI数据分析师,15k-25k,快陪练,3-5年,本科,100-499人
北京3,北京,北京,资深数据分析师,20k-40k,滴滴出行,3-5年,本科,10000人以上
北京3,北京,北京,数据分析师,25k-30k,智帆金科,3-5年,本科,20-99人
北京3,北京,北京,高级数据分析师,30k-40k,新浪网,5-10年,本科,1000-9999人
北京3,北京,北京,数据分析,30k-50k,滴滴出行,5-10年,本科,10000人以上
北京3,北京,北京,数据分析师,20k-35k,优贝在线,3-5年,本科,100-499人
北京3,北京,北京,数据分析师,20k-40k,国美在线,1-3年,硕士,10000人以上
北京3,北京,北京,数据分析师（实习）,6k-7k,百观,经验不限,本科,20-99人
北京3,北京,北京,数据分析师-电商,15k-30k,今日头条,1-3年,本科,10000人以上
北京3,北京,北京,数据分析,5k-7k,奥维云网,经验不限,学历不限,100-499人
北京3,北京,北京,数据分析师,15k-30k,阿里巴巴高德,1-3年,本科,1000-9999人
北京3,北京,北京,数据分析高级经理/总监,20k-40k,GoFun出行,5-10年,本科,1000-9999人
北京3,北京,北京,网球数据分析师,5k-10k,信和易用,1-3年,大专,0-20人
北京3,北京,北京,数据分析实习生,1k-2k,瑞幸咖啡,应届生,本科,10000人以上
北京3,北京,北京,数据分析师,15k-30k,志翔科技,经验不限,本科,100-499人
北京3,北京,北京,临床数据分析,20k-40k,康宁瑞通,经验不限,硕士,20-99人
北京3,北京,北京,数据分析实习生,3k-4k,互连众信,应届生,本科,500-999人
北京3,北京,北京,数据分析师,4k-5k,一指遥,1-3年,本科,100-499人
北京3,北京,北京,金融数据分析师,18k-36k,百观,3-5年,本科,20-99人
北京3,北京,北京,BI数据分析师(J12293),15k-25k,北京汇通天下,3-5年,本科,1000-9999人
北京4,北京,北京,数据分析员（市场发展方向）,7k-9k,跨越速运,1-3年,本科,10000人以上
北京4,北京,北京,AI数据分析流程优化师,30k-35k,今日头条,3-5年,本科,10000人以上
